id,questions
305,"Should I repeat 2nd year in college, or find a new college? It's a 5 year course."
306,How is petrol or diesel pumped up in a filling station using a motor without igniting any fire?
307,What job possibilities exist for a Bachelors in Homeland Security?
308,Which are the best books to understand calculus?
309,Why and how did you break up with her/him?
310,Can I use Jio SIM in iPhone 5s?
311,What are some unwritten rules in USA?
312,What is the best answer to what you did in two years gap in a job interview?
313,What are the best songs for low voices?
314,Can anyone predict my birth chart?
315,When was the birth of the trigonometric functions?
316,"What does this saying mean; ""Don't trust everything you see even salt looks like sugar""?"
317,What do countries do to prevent war?
318,How can I become a billionaire?
319,Why should I learn web design?
320,"What's the best on-line calender/scheduling/booking system? Something that allows me to show my availability & customers can 'request' to meet me. When I 'accept' their request, the appointment pops into our calendars & reminders are automated."
321,How will Indian GDP be affected from banning 500 and 1000 rupees notes?
322,Why does understanding death philosophical?
323,Why are dogs considered omnivores?
324,What it is like to be cheated upon in a relationship?
325,How do I know if someone blocked my texts?
326,What are the most interesting foods you have eaten in any country?
327,What is it like to be a private banker?
328,What is journalism for you?
329,How can one increase concentration?
330,"How do I see ""sent invitations"" on Linkedin if I don't have any more pending invitations?"
331,What are the pros and cons of the German Shepherd dog?
332,What is the difference between deism and agnosticism?
333,Why do male porn stars masturbate to ejaculate?
334,How much CGPA I require to get an admission for MTech CSE at IIT Madras?
335,Is there a biological reason that people cry when they are emotional?
336,What are 5 facts about the earth's crust?
337,Why does ISRO not use friction stir welding technology?
338,I wish to simulate a fake location for an app running on my iOS device. How do you fake a GPS location for iOS without jailbreaking as a non-coder?
339,What would be the best way to quit smoking?
340,Which is the best programing language for tcs?
341,Earthquake resistant homes?
342,Is Kristen Stewart a bad actress?  Why or why not?
343,Why do some Japanese guys try to look feminine? Don't the girls find it gross?
344,What are the five most popular sugar daddy websites?
345,What is the VTU 1st sem exam time table of 2016 (Dec)?
346,What is the best phone to buy below 15k?
347,How do we start a business?
348,What's the best near-death experience you've ever had?
349,Why do I keep getting fleas from my dogs?
350,What year did the letter J come?
351,Harvard College Courses: What is general shopping advice for Turkish classes?
352,How do I send message from one Android phone to another Android phone through bluetooth?
353,What are the most important books ever written?
354,What universities does Sigma Designs recruit new grads from? What majors are they looking for?
355,Can we do an M.Phil in India after doing Masters in UK (MA in Psychology)?
356,What universities does Powell Industries recruit new grads from? What majors are they looking for?
357,What are some of the best movie posters you have come across?
358,What are some examples of deuteromycota and how are they formed?
359,How racist is too racist?
360,Are there any differences between however and nevertheless?
361,Are Canada Geese really Canadian?
362,How do I find the zeros of the polynomial function [math]f(x)=\dfrac{1}{2}x^{3}-3x[/math]?
363,How do I edit my devices on my Google play account?
364,How can I become a good speaker?
365,How can I write a letter to Mr. Narendra Modi?
366,Who is more electable in a general Presidential election: Donald Trump or Ted Cruz?
367,Why do they name bastards Snow?
368,What do you think about the Bermuda Triangle?
369,Do Mexican girls like black guys?
370,Have you lived in a tiny house?
371,"What is a boy/girl called when he/she is 1-6 years old, 6-11years old, 11-14 years old, and 14-18 years old?"
372,Can you debeak cockerels at 8 months old?
373,What should someone do to overcome anxiety?
374,How do we avoid whey in Yogurt?
375,"Im in love with my bisexual best friend who is also a guy and has a girlfriend, and I want to tell him. How do I move on?"
376,What is the best university in Germany for an MS?
377,How do I maintain my peace of mind?
378,Which car has good build quality in india?
379,Why does massaging one's temples soothe a migraine or headache?
380,Which one is better among KMC Manipal and KMC Mangalore?
381,Why are my bestfriend still ignoring me?
382,What are the sensors available in Acer Liquid Z630S Android Smart phone by using CPU-Z App?
383,How do I keep motivation to learn a language?
384,What are the top assessment companies in India?
385,What does @ mean as an emoticon?
386,Is a pinkish discharge normal in early pregnancy? What causes it?
387,What are the best ways to properly finger yourself?
388,How do scientists work?
389,How many sponsored candidates are shortlisted for CMC vellore?
390,What is the different between Chinese wedding ceremony and western wedding ceremony?
391,What is the condition of tourism in Pakistan?
392,What is the different between offshore and onshore funds?
393,Why should one hate Shahrukh Khan?
394,What are the best self-help books you've ever read?
395,Is Evernote useful?
396,A title for my continuation to The Gift of the Magi?
397,What is a good song to lyric prank your best friend?
398,I argued with my gf that she made friends with the person that hit on her. She said I'm a control freak and she wants her freedom. What should I do?
399,How do I pass a drug test for methamphetamine?
400,How could start with open source development?
401,Why do dreams look so real?
402,Do cricket players really drink tea on a tea break?
403,How can I get entry in MIT?
404,Does a fetus breathe when it's inside a womb?
405,What are movies with incest scenes?
406,"What are the signs that a guy has feelings for you or has a crush on you, but doesn't want to show it, so he hides it?"
407,"According to the International Federation of Robotics, how many robots existed in 2012?"
408,"Why is Oberon mad at Titania in ""A Midsummer Night's Dream""?"
409,Do you regret your divorce?
410,"How much does your DNA change over time? If I were to clone myself 70 years from now, will the clone have the same hair color?"
411,Is it right to tell a girl the you have feelings for her?
412,"Is Donald Trump taking cocaine, as Howard Dean suggests?"
413,"Is it true that in order to be part of an elite or just rich and successful, you have to join a secret organisation otherwise no chance at all?"
414,Which is more financially beneficial: being in a firm or teaching in an architecture college?
415,How can I see the Comedy Nights with Kapil live show?
416,Why is sandeep maheshwari not on Quora?
417,What is the biggest monster in Monster Hunter?
418,How can I convince people to stop blaspheming against the Holy Spirit?
419,Why can't I stop watching porn?
420,How can I start trusting any one?
421,What's your bucket list?
422,How did you first come across porn?
423,"Which car services are available in Normal, IL? How good are they compared to taxis and relative to each other?"
424,Why can’t charged molecules pass through the lipid cell membrane?
425,How does it feel to be a spouse of a renowned porn star?
426,What is the best hostel booking affiliate program?
427,"How can the drive from Brooklyn to Staten Island be described, and how do these cities' tourist attractions compare to those in Queens?"
428,What can I eat every day to be more healthy?
429,How do I make free calls to family members on Airtel Andhra Pradesh?
430,What would Hillary Clinton do now that the election is over?
431,Should I use Vicks Vapor Rub for a stuffy nose?
432,How I start prepare for UGC net English literature latest syllabus?
433,How did early Europeans get protein before the Columbian Exchange?
434,What is the best forum for graphic designers?
435,Is Alex Jones a satirical show?
436,Should I learn AngularJS 1.5 instead of AngularJS 2 if I don't know TypeScript?
437,Why can't we fall asleep on some days?
438,Which Marvel movies have not included Stan Lee cameos?
439,What are your views on Modi governments decision to demonetize 500 and 1000 rupee notes? How will this affect economy?
440,What does the 10/6 label on the Mad Hatter's hat mean?
441,Who wrote the Kars for Kids jingle?
442,Why is Saltwater Taffy candy imported in Greece?
443,What are the minimum requirements to enter MIT?
444,How do you answer a question on Quora?
445,Israel vs Iran: who would win?
446,When is it too late to learn the piano?
447,What are natural numbers?
448,Is One Plus 3T 4G VoLTE enabled phone?
449,How do I enter a new email ID which I can access to recover my Facebook ID?
450,How we can travel faster than light?
451,What is it like being a firefighter?
452,What are the factors that causes data inconsistency in distributed platform/application?
453,What are the differences between POCSO and sexual offenses in the IPC?
454,"What is an alternative for the word ""is""?"
455,What is considered an illegal screen in the NBA?
456,Nothing excites me anymore. How do I regain that excitement?
457,What are the life lessons that Batman teaches us?
458,How do you stop a criminal's attempt to kidnap you so you escape unharmed?
459,How do I sell on Amazon?
460,Daniel Ek: When an we expect Spotify in India?
461,What are the top 10 books one should read in his or her early 20s?
462,Which book should I start with for the GATE preparation?
463,"What does the phrase ""He who does not love abides in death"" exactly mean?"
464,What is similar to 4Shared?
465,Can you get high if someone touches weed and then you shake their hand and then you eat something with that same hand?
466,Considering the current trend of information technology what is the future of print media?
467,What is the best recipe for chicken pizza?
468,What are some good places to learn mountaineering in India?
469,Do new table tennis balls damage rubbers?
470,My new Xbox one S can't connect to internet during setup. Any solutions?
471,Is it wrong for me to be content with my life?
472,Is gravity only a theory?
473,How could I become a fighter pilot when I have less than the required eyesight?
474,Operation executive salary in Infosys?
475,Have cavemen been scientifically tested?
476,Can climate change be reversed?
477,How should ask my crush for her number?
478,Why do I believe that gravitation force exist?
479,Did Mahabharata really happen?
480,Can Congress stop Presidents from starting a major war?
481,Is it safe to lose 25 pounds in 1 month?
482,What are some cute shounen ai series?
483,Why are police lights red and blue?
484,How do I post a question that was marked as needing improvement?
485,Who owns nature?
486,How can I install OBB/data file on an Android?
487,What is garbage value? And Why do we get garbage value in c?
488,How do I prepare for software interviews?
489,Does Rahul Gandhi have any chance to become next PM of India after Modi?
490,Is noon 12 am or 12 pm?
491,What is the difference between a comet and an asteroid?
492,Is chocolate milk good for you?
493,How should I study
494,Which country is best for higher education and work?
495,What is the painting on this image?
496,Which are the major highways in California and how are they compared to the major highways in Tennessee?
497,What's beyond our Universe?
498,Is growing of hair a physical or a chemical change?
499,What is the difference between culture and history?
500,What does it mean when a guy says I like you?
501,"What makes a programmer ""good?"""
502,What will most likely cause World War III?
503,Is civil war likely after the US presidential election?
504,Which European country is the best for asylum seekers?
505,Where and how do the crop circles get generated?
506,Will baking soda help pass a urine test?
507,What is Zika virus and how is it transmitted?
508,What is the best way to learn algebra by yourself?
509,How does it feel to retake a class in college?
510,Does Google Display Network require any site to have it SEO (on-page and off-page optimized) first before they can proceed with GDN? Is this possible?
511,"How hard is it to fake appearing ""spiritual"" in a Christian community?"
512,What is an actinomorphic flower?
513,What is the best place for sex?
514,Do people with anemia die younger?
515,"How do you feel about the new MacBook Pro, late 2016?"
516,Does covering your head while sleeping cause brain damage?
517,What are the major differences between Chinese culture and western cultures?
518,What are scraping techniques?
519,I am 29Y old. I have diabetic Type 2. Recently my sugar level was increased to 150 (fasting). I do exercise and eat whole grains. why this happening?
520,Is it healthy to eat egg whites every day?
521,What words rank the highest on Dictionary.com's difficulty index?
522,Why can't I feel remorse or empathy at all?
523,How many minutes of cardio a day should I do?
524,Why is my dog biting me?
525,How can I treat a severe foot sprain?
526,How can a severe crick in the neck be treated?
527,What are the best places to recommend foreigners to visit in Nepal?
528,"Who do I activate the dlc of skyrim in a laptop? Ive got it working on my computer after doing the command lines, but did the same on laptop, to no use.."
529,How should I prepare for HSBC GLT placement tests?
530,Did any Indian writers/authors ever use a pen name?
531,How do I register institute providing training in various programming languages for vocational courses as it will exempt it from the service tax?
532,How imminent is world war III?
533,How do you write a song?
534,What could be Narendra Modi's next move after demonetization?
535,"If you have me, you want to share me. If you share me, you haven't got me. What am I?"
536,"What is an interesting fact that you know and I don't, but shouldn't?"
537,What is the problem with controlled fusion?
538,Where do I find 3ds emulator for android?
539,"I want to start my clothes boutique in India, from where can I buy cheap wholesale clothes?"
540,How can I become a true computer science engineer?
541,Is it necessary to unlock bootloader before rooting Android phones?
542,What is bss engineer?
543,Why do I get punished by Quora moderators when I put Israel and Judaism in a negative light?
544,What can you do in lucid dreams?
545,What does it feel like to be beautiful?
546,Is it possible to do CA after 12th Science?
547,How can I hack someones whatsapp account?
548,What is it like to study math at UCLA?
549,What is the best lesson in life?
550,What are some Interesting mobile apps?
551,How will Trump's presidency affect Indian students who are planning to do a PhD in the US?
552,What are the various Batman movies in the series? (In order)
553,What are the best daily life hacks one can use to make his life easy?
554,How much weight will I lose by not eating for a week?
555,What is your favourite anime character and why?
556,How do ATM machines work internally?
557,How many Mechanical Engineers graduate from India per year?
558,How do I start a successful private equity firm?
559,What are most underrated date activities?
560,What are some common facts every mechanical engineer should know?
561,What can be the medium budget to visit best places in Kerala for three members (2-3 days)?
562,"Why is Quora Digest filled with questions about Google, IQ, and China?"
563,How would you destroy the world?
564,How can I earn money from YouTube?
565,What are the differences between particles and molecules?
566,"On Facebook, how can I add mutual friends?"
567,"What is Russian president Vladmir Putin like as a person, to his closest friends and family?"
568,How do I start writing again?
569,If time started because of the big bang happening then how could the big bang start because there was no time for the big bang to start?
570,How does it feel to be in a relationship than being single and how does our life changes when we are in a relationship?
571,How can I start civil service exam preparation from scratch?
572,What are the non-invasive blood glucose monitoring systems abroad?
573,What is the difference in pleasure between masturbation and sex?
574,"What does ""the more things change the more they stay the same"" mean?"
575,How do I start a solar energy business in egypt?
576,"Can my PC with specs 2 GB DDR2@ RAM, Intel Core Duo 3.5 GHz, NVidia GeForce GT 610 3gb DDR3 run Assassin's Creed Syndicate and GTA V?"
577,Do you have any psychic abilities?
578,How do I manage time for studies?
579,What is the academic calendar at XLRI?
580,What is your take on Urjit Patel as the new RBI governor?
581,Why do you want to be to president?
582,Why India does not have friendly relations with it's neighbouring countries?
583,Do Trump voters care that he has reneged all his campaign promises?
584,"Can I learn while sleeping? If so, how?"
585,Can you play Asian Playstation 4 games on a European Playstation?
586,How do I stop being addicted to porn?
587,"Why did British engineering and manufacturing skills decline so dramatically in the 60s, 70s and 80s, especially when compared with Germany's?"
588,How do I work with machine learning researchers after graduation?
589,What is the future for iOS Developers?
590,What is the meaning of life? Whats our purpose on Earth?
591,How do I be a boyfriend?
592,How is time travel possible?
593,How can one get a fuller face?
594,Is it too late for me at the age of 25 thinking to start a career in photography?
595,What’s the best time to have sex?
596,Can we weld steel and aluminum together?
597,Which YouTube video has the highest like/dislike ratio?
598,What is solution to Kashmir issue?
599,"If you dug a hole through the earth, and came out the other side what would happen?"
600,Can we create free energy?
601,What should I do for Web design?
602,What's the funniest highbrow joke you've ever heard?
603,How do I find the phenotypic ratio?
604,Why does Saturn benefit a house it sits in slowly?
605,Who is the most academically qualified Bollywood celebrity?
606,"Is there a difference in quality between wired and wireless headphones? If so, why?"
607,What are some movies that everyone needs to watch at least once in life?
608,Can World War 3 ever take place?
609,How can eating prunes help during a constipation?
610,You have given all statement as correct in UNCCD question in CSE prelim 2016. While many coachings have taken 2nd statement as wrong.?
611,What would be today’s technology had we never realized the value of binary numbers and harnessed it to produce digital technology?
612,What is the best way to invest in oil and natural gas?
613,Is Arnab Goswami pro-BJP?
614,What are some good sources for learning NuGet?
615,How would do you describe a person with lots of interests?
616,Is it possible to turn off indicator light on a dahua camera?
617,Why is Barack Obama so important for the world?
618,What is the reason Pakistan supports terrorism?
619,How do I can stop hairfall?
620,"In your opinion, what is the best classical song of all time?"
621,What are some unusual aspects about politics and government in Hungary?
622,What is the aim?
623,How should I respond to my boss who fired me via email?
624,What are cheap and budget stay options in North Goa?
625,Is there any other website similar to Quora?
626,What are the conditions in European refugee camps?
627,"What is the opposite of ""homebird""?"
628,How do you know that your fiance loves you?
629,Can somebody explain to me how to do this problem with steps?
630,How do I develop my presence of mind?
631,Mathematical Fallacies: What is wrong in this proof that 2+2 = 5?
